u,g,r,i,z,gaia_g,bp,rp
16.75268,15.76191,15.45668,15.30816,15.30201,15.4373,15.7097,14.99504
16.67215,15.71064,15.34714,15.21164,15.19296,15.34171,15.62847,14.87813
18.5035,17.5624,17.1434,16.9687,16.938,17.16241,17.43321,16.69106
16.3008,15.3947,15.1679,15.0407,15.0449,15.14175,15.37136,14.74929
17.7241,16.7733,16.4266,16.2975,16.2397,16.43342,16.73113,15.97493
18.0871,17.1725,16.9166,16.8392,16.7922,16.9019,17.14608,16.50263
17.3696,16.392,16.067,15.9447,15.9316,16.07094,16.35248,15.62936
18.1211,17.1208,16.7881,16.6521,16.6401,16.79722,17.06943,16.3493
17.7111,16.629,16.1602,15.9887,15.8954,16.17981,16.52844,15.64826
16.553,15.6027,15.3552,15.182,15.1807,15.30497,15.55811,14.88725
15.9631,14.9975,14.6265,14.4738,14.4338,14.60918,14.90122,14.14528
17.7453,16.7703,16.5039,16.3707,16.3436,16.47321,16.73766,16.03772
17.69756,16.59081,16.13429,15.96305,15.8566,16.12378,16.46168,15.6057
17.2372,16.3164,15.9181,15.7551,15.711,15.92019,16.22872,15.427
16.7786,15.8661,15.5099,15.4028,15.3698,15.51934,15.8076,15.05624
16.9752,16.002,15.6431,15.4977,15.4406,15.6221,15.91913,15.15445
17.6341,16.6509,16.2635,16.1562,16.1112,16.27255,16.56832,15.80474
18.1029,17.0862,16.7459,16.6115,16.594,16.73988,17.02939,16.27957
17.3819,16.3788,15.9609,15.8173,15.7836,15.95566,16.24065,15.48658
17.271,16.3051,16.0091,15.9402,15.9259,16.01563,16.26312,15.61297
17.8512,17.0358,16.7221,16.5967,16.5835,16.70845,16.97733,16.28135
17.9449,16.89094,16.41183,16.26037,16.18661,16.42784,16.76572,15.91887
18.1904,17.2222,16.9801,16.8627,16.8597,16.94103,17.19544,16.52817
18.802,17.869,17.5221,17.4402,17.3909,17.53491,17.8367,17.09781
18.1243,17.1628,16.9192,16.8174,16.8336,16.89222,17.12757,16.51133
18.0915,17.1711,16.8255,16.6883,16.6763,16.8343,17.13273,16.39712
17.7737,16.9095,16.5446,16.3854,16.3592,16.5345,16.83235,16.06593
17.8102,16.8801,16.6035,16.5,16.4888,16.58948,16.84351,16.18448
17.8437,16.9148,16.6188,16.5138,16.5069,16.62078,16.86789,16.21182
17.3238,16.307,15.9581,15.8323,15.8216,15.97183,16.26148,15.51573
17.16644,16.22913,15.87877,15.76022,15.70335,15.87444,16.15903,15.415
17.4515,16.496,16.1009,15.995,15.9374,16.1191,16.40685,15.65874
18.0219,17.0741,16.7351,16.5834,16.5298,16.71367,16.99535,16.26187
17.29589,16.27288,15.93441,15.77337,15.73321,15.91395,16.21079,15.44753
16.47864,15.56674,15.2088,15.08561,15.02756,15.19854,15.47932,14.73966
17.9912,17.0848,16.7205,16.572,16.4879,16.70715,17.01221,16.23416
